id,name,constellation,search,wikistatus,ra,dec,Hipparcos,Draper,BrightStar,hascat,s0_absmag_v,s0_appmag_v,s0_class,s0_constell,s0_dist_ly,s0_dist_pc,s0_gravity,s0_luminosity,s0_mass,s0_metal_fe,s0_parallax,s0_radial_v,s0_radius,s0_rotational_velocity,s0_temperature,s0_variable,s1_absmag_v,s1_appmag_v,s1_class,s1_constell,s1_dist_ly,s1_dist_pc,s1_gravity,s1_luminosity,s1_mass,s1_metal_fe,s1_parallax,s1_radial_v,s1_radius,s1_rotational_velocity,s1_temperature,s1_variable,s2_absmag_v,s2_appmag_v,s2_class,s2_constell,s2_dist_ly,s2_dist_pc,s2_gravity,s2_luminosity,s2_mass,s2_metal_fe,s2_parallax,s2_radial_v,s2_radius,s2_rotational_velocity,s2_temperature,s2_variable,s3_absmag_v,s3_appmag_v,s3_class,s3_constell,s3_dist_ly,s3_dist_pc,s3_gravity,s3_luminosity,s3_mass,s3_metal_fe,s3_parallax,s3_radial_v,s3_radius,s3_rotational_velocity,s3_temperature,s3_variable,s4_absmag_v,s4_appmag_v,s4_class,s4_constell,s4_dist_ly,s4_dist_pc,s4_gravity,s4_luminosity,s4_mass,s4_metal_fe,s4_parallax,s4_radial_v,s4_radius,s4_rotational_velocity,s4_temperature,s4_variable,s5_absmag_v,s5_appmag_v,s5_class,s5_constell,s5_dist_ly,s5_dist_pc,s5_gravity,s5_luminosity,s5_mass,s5_metal_fe,s5_parallax,s5_radial_v,s5_radius,s5_rotational_velocity,s5_temperature,s5_variable,s6_absmag_v,s6_appmag_v,s6_class,s6_constell,s6_dist_ly,s6_dist_pc,s6_gravity,s6_luminosity,s6_mass,s6_metal_fe,s6_parallax,s6_radial_v,s6_radius,s6_rotational_velocity,s6_temperature,s6_variable,s7_absmag_v,s7_appmag_v,s7_class,s7_constell,s7_dist_ly,s7_dist_pc,s7_gravity,s7_luminosity,s7_mass,s7_metal_fe,s7_parallax,s7_radial_v,s7_radius,s7_rotational_velocity,s7_temperature,s7_variable,s8_absmag_v,s8_appmag_v,s8_class,s8_constell,s8_dist_ly,s8_dist_pc,s8_gravity,s8_luminosity,s8_mass,s8_metal_fe,s8_parallax,s8_radial_v,s8_radius,s8_rotational_velocity,s8_temperature,s8_variable,s9_absmag_v,s9_appmag_v,s9_class,s9_constell,s9_dist_ly,s9_dist_pc,s9_gravity,s9_luminosity,s9_mass,s9_metal_fe,s9_parallax,s9_radial_v,s9_radius,s9_rotational_velocity,s9_temperature,s9_variable
49,ALPHEKKA,Coronae Borealis,Alpha Coronae Borealis,cache,4.0783449043,0.4662593525,76267,139006,,yes,+0.16/+5.05,2.21 (2.24 / 7.1),A0V/G5V,[[Corona Borealis]] ,,,3.89/4.50,74/0.81,2.58/0.92,,43.65,1.7,2.89–3.04/0.90,139,"9,700/5,800",[[Eclipsing binary]] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,ALPHEKKA MERIDIANIA,Coronae Australis,Alpha Coronae Australis,cache,5.0155192899,-0.6615578522,94114,178253,,yes,1.11,4.102,A2Va,[[Corona Australis (constellation),,,,31,2.3,,26.02,-18.4,2.3,195,9100, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,ALSAFI,Draconis,Sigma Draconis,cache,5.1153847964,1.2158168907,96100,185144,511,yes,5.87,4.674,G9 V,[[Draco (constellation),,,4.6,0.428 &plusmn; 0.013,0.87,−0.20,173.77,26.7,0.778 &plusmn; 0.008,1.5,"5,299 &plusmn; 32",None ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,ALSCIAUKAT,Lyncis,31 Lyncis,cache,2.1940337677,0.7537790999,41075,70272,3275,yes,-1.13,4.25,,[[Lynx (constellation),389,119.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,ALSHAIN,Aquilae,Beta Aquilae,cache,5.2155383149,0.1118174274,98036,188512,,yes, ,3.71/11.4,G8 IVvar,[[Aquila (constellation),,,3.6,6.0 ± 0.3,1.26 ± 0.18,–0.30,72.95,-40.3,3.28 ± 0.15,0.9,5100,Suspected,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,ALSHAT,Capricorni,Nu Capricorni,cache,5.3261485563,0.2226894681,100310,193432,,yes,,4.77,,[[Capricornus]],272 ± 22,83 ± 7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,ALTAIR,Aquilae,Alpha Aquilae,cache,5.1957723557,0.154781404,97649,187642,7557,yes,2.21,0.77,A7 V,[[Aquila (constellation),,,4.29,10.6,1.79,−0.2,194.95,−26.1 ± 0.9,1.63 to 2.03,240,"6,900 to 8,500",[[Delta Scuti variable,,9.82,,,,,,,,,,,,,,,,10.3,,,,,,,,,,,,,,,,11.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,ALTAIS,Draconis,Delta Draconis,cache,5.0289700333,1.1809166577,94376,180711,5,yes,0.62,3.07,G9 III,[[Draco (constellation),,,2.98,59,2.32,–0.27,33.48,24.8,11,8,4820, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,ALTARF,Cancri,Beta Cancri,cache,2.166456882,0.160317999,40526,69267,3249,yes,-1.21,3.536,K4III ,[[Cancer (constellation),,,1.51,660,,,11.23,22.94,48 ± 4,8,4039,? ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,ALTERF,Leonis,Lambda Leonis,cache,,,46750,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,ALUDRA,Canis Majoris,Eta Canis Majoris,cache,1.9377301512,-0.511435672,35904,63032,,yes,,2.45,B5 Ia,[[Canis Major]],,,,105442,19.19 ± 1.15,,1.64,41.1,56.3,50,15000,[[Alpha Cygni variable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,ALULA AUSTRALIS,Ursae Majoris,Xi Ursae Majoris,cache,2.9591330247,0.5502877687,55203,98230,4374,yes,4.71/5.23 ,3.79 (4.32/4.84),G0 Ve/G0 Ve,[[Ursa Major]] ,,,,1.1/0.67,1.05/0.90,,113.2,-15,1.01/0.78,,"~5,900/5,900",? ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,ALULA BOREALIS,Ursae Majoris,Nu Ursae Majoris,cache,2.9604228696,0.5776046475,55219,98262,4377,yes,−2.47 ± 0.16,3.49,K3 III,[[Ursa Major]],,,1.89,775 ± 122, ,–0.04,8.17,-9.63 ± 0.38,57.07 ± 4.13,10,4070,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,ALYA,Serpentis,Theta Serpentis,cache,4.9576950068,0.0733668544,92946,175639,7141,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,ALZIRR,Geminorum,Xi Geminorum,cache,1.7684086366,0.2250705389,32362,48737,,yes,2.14,3.35,F5 IV,[[Gemini (constellation),,,3.81 ± 0.02,11.574 ± 0.238,1.706 ± 0.012,0.00 ± 0.01,55.56,25.6,2.710 ± 0.021,66.1 ± 3.3,"6,480 ± 39",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,ANCHA,Aquarii,Theta Aquarii,cache,5.8330384477,-0.1358440565,110003,211391,8499,yes,0.23,4.175,G8 III–IV,[[Aquarius (constellation),,,2.8,72,2.39,0.01,17.4,–13.77 ± 0.17,12,1.6,4864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,ANGETENAR,Eridani,Tau2 Eridani,cache,,,13288,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,ANKAA,Phoenicis,Alpha Phoenicis,cache,0.1146864142,-0.7383787698,2081,2261,,yes, ,2.377,K0.5 IIIb,[[Phoenix (constellation),,,2.53, , ,–0.73,38.5,74.6,15, ,4436, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,ANTARES,Scorpii,Alpha Scorpii,cache,4.3170719048,-0.4613244583,80763,148478,6134,yes,&minus;5.28,0.96,M1.5Iab-b + B2.5V,[[Scorpius]],,,0.1,57500,12.4,,5.89,&minus;3.4,883,20,3400 ± 200,LC,,,,,,,,,,,,,4,,18500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,APOLLYON,Scorpii,Iota1 Scorpii,cache,4.6582169515,-0.7003482171,87073,161471,6615,yes, ,3.03,F2 Ia,[[Scorpius]],,,1.25,35070,12.11 ± 0.66,0.27,1.69,−27.6,125, ,7000, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,ARCTURUS,Boötis,Alpha Boötis,cache,3.7335283416,0.3347929356,69673,124897,5340,yes,&minus;0.30 ± 0.02,&minus;0.04,K1.5IIIFe-0.5,[[Boötes]],,,1.76 ± 0.05,170,1.10 ± 0.06,−0.37,88.98,5,25.7 ± 0.3,2.4 ± 1.0,"4,290 ± 43",[[Variable star]],,,,,,,,,11.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,ARKAB POSTERIOR,Sagittarii,Beta2 Sagittarii,cache,5.0729667316,0.7759539929,95241,181454,7337,yes,,3.96,,[[Sagittarius (constellation),378 ± 42 ,116 ± 13 ,,,,,,,,,,,,4.27,,[[Sagittarius (constellation),139 ± 5 ,43 ± 2 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,ARKAB PRIOR,Sagittarii,Beta1 Sagittarii,cache,5.0729667316,0.7759539929,95241,181454,7337,yes,,3.96,,[[Sagittarius (constellation),378 ± 42 ,116 ± 13 ,,,,,,,,,,,,4.27,,[[Sagittarius (constellation),139 ± 5 ,43 ± 2 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,ARM,Capricorni,Eta Capricorni,cache,5.5170075822,0.346535123,104019,200499,,yes,,4.82,,[[Capricornus]],158 ± 11,48 ± 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,ARNEB,Leporis,Alpha Leporis,cache,1.4518096773,-0.3110576281,25985,36673,,yes,-6.574,2.589,F0 Ib,[[Lepus (constellation),,,1.34 ± 0.07,32000,13.9 ± 0.8,0.04,1.47,23.9,129,21,"6,850 ± 80", ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,ARRAKIS,Draconis,Mu Draconis,cache,4.4738388327,0.9506856917,83608,154906,6370,yes,? ,5.8 / 5.61,F7V,[[Draco (constellation),,,,,,,37.08,&minus;4.5,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,ASAFJKERIU,Capricorni,Zeta Capricorni,cache,5.6141424272,0.3911525261,105881,204075,,yes,,3.77,,[[Capricornus]],398 ± 44,122 ± 13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,ASCELLA,Sagittarii,Zeta Sagittarii,cache,4.9855861129,-0.5215054854,93506,176687,7194,yes,1.11/1.32,2.59,A2.5 Va,[[Sagittarius (constellation),,,3.9, , ,,36.98,22, ,77,8799, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,ASELLUS AUSTRALIS,Cancri,Delta Cancri,cache,2.2893701965,0.3168499813,42911,74442,3461,yes,0.824,3.94,K0III,[[Cancer (constellation),136 ± 5,42 ± 1,,,,,23.97,17.1,,,,unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,ASELLUS BOREALIS,Cancri,Gamma Cancri,cache,2.2832615441,0.3746979497,42806,74198,,yes,,4.66,,[[Cancer (constellation),158 ± 7,49 ± 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,ASELLUS PRIMUS,Boötis,Theta Boötis,cache,3.7751324117,0.9049661951,70497,126660,5404,yes,,4.05,F7 V,[[Boötes]],,,4.12,4.131 ± 0.096,1.3, ,68.82,-10.9,1.733 ± 0.011, ,6265 ± 41, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,ASELLUS SECUNDUS,Boötis,Iota Boötis,cache,3.7357267256,0.8965272848,69713,125161,5350,yes, ,4.75,A9 V,[[Boötes (constellation),,,4.8,11,2.3, ,34.4,-18.7,1,,"10,560 ± 340",[[Delta Scuti variable]],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,ASELLUS TERTIUS,Boötis,Kappa Boötis,cache,3.7239290307,0.9038672345,69483,124675,5328,yes,,"+4.53, +6.62",A8IV,[[Boötes]],155 ± 6,48 ± 2,,28,,,21.03,-17.4,,,7760,[[Delta Scuti variable]],,+4.50 to +4.58,,[[Boötes (constellation),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,ASMIDISKE,Puppis,Xi Puppis,cache,2.0476825045,-0.4338851214,38170,63700,3045,yes,–4.73,3.35,G6 Iab-Ib,[[Puppis]],,,1.21 ± 0.09, ,9.9 ± 1.0, ,2.72,2.7, ,,"4,880 ± 150", ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,ASPIDISKE,Carinae,Iota Carinae,cache,2.4307641814,-1.0345479638,45556,79447,,yes, ,2.21,A9 Ib,[[Carina (constellation),,,2.4,4900,7.4,–0.14,4.71,13.3, ,10,7500,Suspected,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,ATIK,Persei,Omicron Persei,cache,0.9787756994,0.5635362237,,23180,,yes,,3.83,,[[Perseus (constellation),1000-1600,300-500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,ATLAS,Tauri,27 Tauri,cache,0.9999064007,0.4198098627,17847,23850,,yes,-2.04,3.62,B8 III,[[Pleiades (star cluster),435,128,,,,,8.57,8.5,,,,Suspected ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,ATRIA,Trianguli Australis,Alpha Trianguli Australis,cache,4.4011309671,-1.2047608466,82273,150798,,yes,–3.68,1.91,K2 IIb-IIIa,[[Triangulum Australe]],,,1.5,5500,7,–0.06,8.35,–3.3, , ,4150, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,AULAD AL THIBA,Boötis,Lambda Boötis,cache,3.7366772065,0.8043931634,69732,125162,5351,yes, ,4.18,A0p,[[Boötes]],97.1 ± 1.8,29.8 ± 0.5,4.188,19.1{{+-,1.66{{+-, , , ,1.7,100,8720, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,AUVA,Virginis,Delta Virginis,cache,3.3842085902,0.0592970436,63090,112300,,yes,–2.4 ± 0.3,3.402,M3 III,[[Virgo (constellation),,,1,468,1.4 ± 0.3,–0.16,16.44,–18.14 ± 0.55,48,6,3999,[[Semiregular variable star,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,AVIOR,Carinae,Epsilon Carinae,cache,2.1926306146,-1.0386364354,41037,83183,5,yes, ,1.86,K3 III,[[Carina (constellation),,,, ,9.0 ± 0.9, ,5.39,11.6, , ,3523,[[Eclipsing binary,,,,,,,,,,,,,,,20417,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,AZELFAFAGE,Cygni,Pi1 Cygni,cache,,,,206267,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,AZHA,Eridani,Eta Eridani,cache,,,13701,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,BAADE'S STAR,B0531,PSR B0531+21,cache,1.4596748494,0.3842250234,,,,no,,16.5,,[[Taurus (constellation),,2200,,?,1.4,,,,~1.437815 × 10,,Center (modeled): ~3 × 10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,BAHAM,Pegasi,Theta Pegasi,cache,5.8040924275,0.1081716285,,210418,,yes,,3.53,,[[Pegasus (constellation),12210,3743.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,BARNARD'S STAR,Ophiuchi,Proxima Ophiuchi,cache,4.7028258873,0.0819151241,87937,,,yes,13.22,9.54,M4Ve,[[Ophiuchus]],,, ,,0.144,,545.4,-110.6 ± 0.2,0.196 ± 0.008,,"3,134 ± 102",[[BY Draconis variable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,BASEL,Persei,Delta Persei,cache,0.9726941185,0.8340500628,17358,27084,1122,yes, ,3.01,B5 III,[[Perseus (constellation),,,3.5, ,7.0 ± 0.3, ,6.32,4,10.5,190,14890, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,BATENTABAN AUSTRALIS,Draconis,Phi Draconis,cache,4.8029592349,1.2450797432,89908,170000,,yes,0.21,4.2004,A0sp,[[Draco (constellation),,,4.21 ± 0.08,107,2.99 ± 0.10, ,10.77,-16,2.7 ± 0.2, ,11429, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
